dagG31.txt 3_2x2.txt True 0.038135593220338986 0.07 674.0 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 0, 2, 2, 0, 2, 0, 0, 2, 2, 0, 2, 2] 
dagG31.txt 3_2x2.txt True 0.07627118644067797 0.1 648.6666666666666 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 3, 0, 3, 3, 0, 0, 3, 0, 3] 
dagG31.txt 3_2x2.txt True 0.08898305084745763 0.15 669.0 [0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0] 
dagG31.txt 3_2x2.txt True 0.11864406779661017 0.2 664.3333333333334 [0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 0, 2, 2, 3, 2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 3, 2, 2] 
dagG31.txt 3_2x2.txt True 0.11864406779661017 0.3 664.3333333333334 [0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 0, 2, 2, 3, 2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 3, 2, 2] 
dagG31.txt 3_2x2.txt True 0.11864406779661017 0.4 664.3333333333334 [0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 0, 2, 2, 3, 2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 3, 2, 2] 
dagG31.txt 3_2x2.txt True 0.11864406779661017 0.5 664.3333333333334 [0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 0, 2, 2, 3, 2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 3, 2, 2] 
dagG31.txt 3_2x2.txt True 0.3686440677966102 0.6 295.6666666666667 [0, 0, 1, 0, 0, 3, 3, 0, 0, 3, 0, 3, 0, 1, 0, 0, 1, 1, 0, 3, 0, 0, 1, 0, 1, 2, 1, 3, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 1, 1, 0, 2, 1, 2, 0, 0, 1, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2] 
dagG31.txt 3_2x2.txt True 0.4067796610169492 0.7 274.5 [0, 0, 0, 3, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 3, 3, 3, 3, 1, 1, 1, 1, 0, 1, 0, 3, 1, 3, 1, 1, 1, 3, 0, 1, 2, 3, 3, 1, 1, 0, 2, 2, 2, 2, 0, 2, 2, 2, 3, 3, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2] 
dagG31.txt 3_2x2.txt True 0.5677966101694916 1 256.3333333333333 [2, 1, 0, 0, 2, 2, 3, 0, 3, 2, 2, 0, 1, 0, 0, 2, 3, 0, 2, 3, 0, 0, 2, 3, 3, 2, 3, 0, 3, 0, 0, 0, 2, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 2, 3, 1, 0, 3, 2, 0, 3, 1, 0, 2, 0, 1, 0, 2, 3, 2, 2, 1, 2, 2, 1, 3, 1, 3, 2, 1, 3, 2, 2, 1, 2, 3, 2, 2, 1] 
