dag18.txt 3_2x4.txt True 0.2956521739130435 0.3 565248.0 [1, 3, 2, 6, 1, 2, 4, 1, 7, 7, 4, 6, 6, 3, 5, 4, 4, 1, 3, 4, 1, 7, 2, 5, 4, 3, 6, 6, 6, 3, 3, 3, 3, 6, 4, 4, 5, 7, 5, 4, 7, 1, 4, 5, 1, 5, 5, 1, 5, 6, 7, 7, 7, 2, 1, 0, 5, 1, 2, 3, 0, 2, 2, 2, 2, 0, 0, 0, 0, 4, 0, 0, 0, 5, 0, 1, 0, 0, 0, 0, 0] 
dag18.txt 3_2x4.txt True 0.34782608695652173 0.35 565248.0 [6, 1, 7, 4, 5, 7, 0, 6, 1, 1, 3, 4, 5, 2, 2, 0, 0, 6, 3, 1, 2, 1, 7, 2, 1, 4, 4, 5, 5, 2, 3, 3, 3, 5, 0, 0, 1, 5, 2, 0, 5, 7, 0, 2, 7, 1, 2, 3, 2, 4, 4, 1, 4, 4, 6, 6, 6, 3, 4, 3, 6, 7, 7, 7, 7, 6, 7, 7, 6, 0, 6, 7, 7, 2, 7, 3, 7, 7, 2, 0, 0] 
dag18.txt 3_2x4.txt True 0.34782608695652173 0.4 565248.0 [6, 1, 7, 4, 5, 7, 0, 6, 1, 1, 3, 4, 5, 2, 2, 0, 0, 6, 3, 1, 2, 1, 7, 2, 1, 4, 4, 5, 5, 2, 3, 3, 3, 5, 0, 0, 1, 5, 2, 0, 5, 7, 0, 2, 7, 1, 2, 3, 2, 4, 4, 1, 4, 4, 6, 6, 6, 3, 4, 3, 6, 7, 7, 7, 7, 6, 7, 7, 6, 0, 6, 7, 7, 2, 7, 3, 7, 7, 2, 0, 0] 
dag18.txt 3_2x4.txt True 0.34782608695652173 0.45 565248.0 [6, 1, 7, 4, 5, 7, 0, 6, 1, 1, 3, 4, 5, 2, 2, 0, 0, 6, 3, 1, 2, 1, 7, 2, 1, 4, 4, 5, 5, 2, 3, 3, 3, 5, 0, 0, 1, 5, 2, 0, 5, 7, 0, 2, 7, 1, 2, 3, 2, 4, 4, 1, 4, 4, 6, 6, 6, 3, 4, 3, 6, 7, 7, 7, 7, 6, 7, 7, 6, 0, 6, 7, 7, 2, 7, 3, 7, 7, 2, 0, 0] 
dag18.txt 3_2x4.txt True 0.34782608695652173 0.5 565248.0 [6, 1, 7, 4, 5, 7, 0, 6, 1, 1, 3, 4, 5, 2, 2, 0, 0, 6, 3, 1, 2, 1, 7, 2, 1, 4, 4, 5, 5, 2, 3, 3, 3, 5, 0, 0, 1, 5, 2, 0, 5, 7, 0, 2, 7, 1, 2, 3, 2, 4, 4, 1, 4, 4, 6, 6, 6, 3, 4, 3, 6, 7, 7, 7, 7, 6, 7, 7, 6, 0, 6, 7, 7, 2, 7, 3, 7, 7, 2, 0, 0] 
dag18.txt 3_2x4.txt True 0.34782608695652173 0.55 565248.0 [6, 1, 7, 4, 5, 7, 0, 6, 1, 1, 3, 4, 5, 2, 2, 0, 0, 6, 3, 1, 2, 1, 7, 2, 1, 4, 4, 5, 5, 2, 3, 3, 3, 5, 0, 0, 1, 5, 2, 0, 5, 7, 0, 2, 7, 1, 2, 3, 2, 4, 4, 1, 4, 4, 6, 6, 6, 3, 4, 3, 6, 7, 7, 7, 7, 6, 7, 7, 6, 0, 6, 7, 7, 2, 7, 3, 7, 7, 2, 0, 0] 
dag18.txt 3_2x4.txt True 0.34782608695652173 0.6 565248.0 [6, 1, 7, 4, 5, 7, 0, 6, 1, 1, 3, 4, 5, 2, 2, 0, 0, 6, 3, 1, 2, 1, 7, 2, 1, 4, 4, 5, 5, 2, 3, 3, 3, 5, 0, 0, 1, 5, 2, 0, 5, 7, 0, 2, 7, 1, 2, 3, 2, 4, 4, 1, 4, 4, 6, 6, 6, 3, 4, 3, 6, 7, 7, 7, 7, 6, 7, 7, 6, 0, 6, 7, 7, 2, 7, 3, 7, 7, 2, 0, 0] 
dag18.txt 3_2x4.txt True 0.34782608695652173 0.65 565248.0 [6, 1, 7, 4, 5, 7, 0, 6, 1, 1, 3, 4, 5, 2, 2, 0, 0, 6, 3, 1, 2, 1, 7, 2, 1, 4, 4, 5, 5, 2, 3, 3, 3, 5, 0, 0, 1, 5, 2, 0, 5, 7, 0, 2, 7, 1, 2, 3, 2, 4, 4, 1, 4, 4, 6, 6, 6, 3, 4, 3, 6, 7, 7, 7, 7, 6, 7, 7, 6, 0, 6, 7, 7, 2, 7, 3, 7, 7, 2, 0, 0] 
dag18.txt 3_2x4.txt True 0.34782608695652173 0.7 565248.0 [6, 1, 7, 4, 5, 7, 0, 6, 1, 1, 3, 4, 5, 2, 2, 0, 0, 6, 3, 1, 2, 1, 7, 2, 1, 4, 4, 5, 5, 2, 3, 3, 3, 5, 0, 0, 1, 5, 2, 0, 5, 7, 0, 2, 7, 1, 2, 3, 2, 4, 4, 1, 4, 4, 6, 6, 6, 3, 4, 3, 6, 7, 7, 7, 7, 6, 7, 7, 6, 0, 6, 7, 7, 2, 7, 3, 7, 7, 2, 0, 0] 
dag18.txt 3_2x4.txt True 0.34782608695652173 0.75 565248.0 [6, 1, 7, 4, 5, 7, 0, 6, 1, 1, 3, 4, 5, 2, 2, 0, 0, 6, 3, 1, 2, 1, 7, 2, 1, 4, 4, 5, 5, 2, 3, 3, 3, 5, 0, 0, 1, 5, 2, 0, 5, 7, 0, 2, 7, 1, 2, 3, 2, 4, 4, 1, 4, 4, 6, 6, 6, 3, 4, 3, 6, 7, 7, 7, 7, 6, 7, 7, 6, 0, 6, 7, 7, 2, 7, 3, 7, 7, 2, 0, 0] 
