dag27.txt 3_2x4.txt True 0.42452830188679247 0.95 404138.6666666667 [5, 6, 7, 4, 4, 7, 4, 3, 1, 1, 7, 7, 4, 2, 5, 1, 7, 4, 7, 3, 4, 7, 7, 1, 1, 5, 1, 6, 0, 1, 1, 4, 6, 6, 6, 6, 6, 5, 6, 7, 6, 1, 1, 4, 6, 6, 5, 6, 6, 2, 6, 5, 5, 2, 2, 3, 3, 4, 6, 3, 3, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2] 
dag27.txt 3_2x4.txt True 0.42452830188679247 1 404138.6666666667 [5, 6, 7, 4, 4, 7, 4, 3, 1, 1, 7, 7, 4, 2, 5, 1, 7, 4, 7, 3, 4, 7, 7, 1, 1, 5, 1, 6, 0, 1, 1, 4, 6, 6, 6, 6, 6, 5, 6, 7, 6, 1, 1, 4, 6, 6, 5, 6, 6, 2, 6, 5, 5, 2, 2, 3, 3, 4, 6, 3, 3, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2] 
dag27.txt 5_4_3_2x2.txt True 0.02830188679245283 0.04 1304166.4 [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag27.txt 5_4_3_2x2.txt True 0.04716981132075472 0.06 1251737.6 [0, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag27.txt 5_4_3_2x2.txt True 0.07547169811320754 0.08 1199308.8 [0, 1, 0, 4, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag27.txt 5_4_3_2x2.txt True 0.07547169811320754 0.1 1199308.8 [0, 1, 0, 4, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag27.txt 5_4_3_2x2.txt True 0.11320754716981132 0.12 924057.6 [0, 4, 0, 4, 5, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4, 0, 0, 0, 0, 0, 0] 
dag27.txt 5_4_3_2x2.txt True 0.1320754716981132 0.14 927334.4 [4, 4, 4, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 4, 0, 4, 0, 1, 0, 0, 4, 4, 0, 0, 4, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 4, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag27.txt 5_4_3_2x2.txt True 0.1509433962264151 0.16 874905.6 [4, 4, 4, 1, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 4, 0, 4, 0, 1, 0, 0, 4, 4, 0, 0, 4, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 4, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag27.txt 5_4_3_2x2.txt True 0.16981132075471697 0.18 822476.8 [4, 4, 4, 4, 4, 4, 0, 0, 0, 0, 0, 1, 0, 0, 4, 0, 4, 0, 1, 0, 0, 4, 4, 0, 0, 4, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 4, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
