dag51.txt 5_4_3_2x2.txt 0.47474747474747475 0.7 299008.0 [4, 1, 0, 4, 0, 7, 6, 1, 0, 3, 4, 6, 4, 7, 4, 1, 0, 2, 6, 5, 0, 0, 0, 0, 1, 2, 4, 5, 4, 4, 1, 4, 6, 2, 1, 5, 7, 7, 1, 2, 4, 5, 1, 2, 2, 5, 3, 5, 1, 1, 3, 0, 6, 2, 2, 3, 3, 3, 5, 4, 3, 3, 5, 5, 3, 3, 3, 3] 
dag51.txt 4_1x5.txt 0.5454545454545454 0.55 339968.0 [1, 6, 1, 1, 6, 4, 7, 2, 4, 6, 8, 8, 1, 4, 0, 9, 1, 7, 8, 8, 0, 0, 1, 5, 8, 5, 2, 8, 5, 1, 8, 0, 5, 5, 9, 2, 4, 4, 8, 8, 5, 2, 8, 2, 5, 2, 6, 6, 4, 4, 0, 6, 8, 5, 3, 3, 6, 3, 2, 4, 6, 3, 8, 2, 6, 6, 6, 6] 
dag51.txt 5_4_3_2x2.txt 0.47474747474747475 0.8 299008.0 [4, 1, 0, 4, 0, 7, 6, 1, 0, 3, 4, 6, 4, 7, 4, 1, 0, 2, 6, 5, 0, 0, 0, 0, 1, 2, 4, 5, 4, 4, 1, 4, 6, 2, 1, 5, 7, 7, 1, 2, 4, 5, 1, 2, 2, 5, 3, 5, 1, 1, 3, 0, 6, 2, 2, 3, 3, 3, 5, 4, 3, 3, 5, 5, 3, 3, 3, 3] 
dag51.txt 5_4_3_2x2.txt 0.47474747474747475 0.9 299008.0 [4, 1, 0, 4, 0, 7, 6, 1, 0, 3, 4, 6, 4, 7, 4, 1, 0, 2, 6, 5, 0, 0, 0, 0, 1, 2, 4, 5, 4, 4, 1, 4, 6, 2, 1, 5, 7, 7, 1, 2, 4, 5, 1, 2, 2, 5, 3, 5, 1, 1, 3, 0, 6, 2, 2, 3, 3, 3, 5, 4, 3, 3, 5, 5, 3, 3, 3, 3] 
dag51.txt 4_1x5.txt 0.5656565656565656 0.6 339968.0 [1, 6, 1, 1, 6, 4, 7, 2, 4, 6, 8, 0, 1, 4, 0, 9, 1, 7, 8, 8, 0, 0, 0, 5, 8, 5, 2, 8, 5, 1, 8, 0, 5, 5, 9, 2, 4, 4, 8, 8, 5, 2, 8, 2, 5, 2, 6, 6, 4, 4, 0, 6, 8, 5, 3, 3, 6, 3, 2, 4, 6, 3, 8, 2, 6, 6, 6, 6] 
dag51.txt 5_4_3_2x2.txt 0.47474747474747475 1 299008.0 [4, 1, 0, 4, 0, 7, 6, 1, 0, 3, 4, 6, 4, 7, 4, 1, 0, 2, 6, 5, 0, 0, 0, 0, 1, 2, 4, 5, 4, 4, 1, 4, 6, 2, 1, 5, 7, 7, 1, 2, 4, 5, 1, 2, 2, 5, 3, 5, 1, 1, 3, 0, 6, 2, 2, 3, 3, 3, 5, 4, 3, 3, 5, 5, 3, 3, 3, 3] 
dag51.txt 4_1x5.txt 0.5656565656565656 0.65 339968.0 [1, 6, 1, 1, 6, 4, 7, 2, 4, 6, 8, 0, 1, 4, 0, 9, 1, 7, 8, 8, 0, 0, 0, 5, 8, 5, 2, 8, 5, 1, 8, 0, 5, 5, 9, 2, 4, 4, 8, 8, 5, 2, 8, 2, 5, 2, 6, 6, 4, 4, 0, 6, 8, 5, 3, 3, 6, 3, 2, 4, 6, 3, 8, 2, 6, 6, 6, 6] 
dag51.txt 3_2x3.txt 0.41414141414141414 0.5 496981.3333333333 [2, 4, 2, 4, 4, 0, 4, 2, 2, 1, 5, 3, 4, 0, 4, 5, 2, 4, 0, 5, 2, 2, 2, 2, 5, 4, 2, 5, 4, 4, 5, 4, 4, 3, 0, 5, 0, 0, 3, 3, 4, 4, 5, 3, 4, 5, 1, 0, 0, 0, 1, 1, 3, 0, 1, 3, 1, 1, 4, 1, 1, 1, 5, 3, 1, 1, 1, 1] 
dag51.txt 4_1x5.txt 0.5656565656565656 0.7 339968.0 [1, 6, 1, 1, 6, 4, 7, 2, 4, 6, 8, 0, 1, 4, 0, 9, 1, 7, 8, 8, 0, 0, 0, 5, 8, 5, 2, 8, 5, 1, 8, 0, 5, 5, 9, 2, 4, 4, 8, 8, 5, 2, 8, 2, 5, 2, 6, 6, 4, 4, 0, 6, 8, 5, 3, 3, 6, 3, 2, 4, 6, 3, 8, 2, 6, 6, 6, 6] 
dag51.txt 3_2x3.txt 0.41414141414141414 0.55 496981.3333333333 [2, 4, 2, 4, 4, 0, 4, 2, 2, 1, 5, 3, 4, 0, 4, 5, 2, 4, 0, 5, 2, 2, 2, 2, 5, 4, 2, 5, 4, 4, 5, 4, 4, 3, 0, 5, 0, 0, 3, 3, 4, 4, 5, 3, 4, 5, 1, 0, 0, 0, 1, 1, 3, 0, 1, 3, 1, 1, 4, 1, 1, 1, 5, 3, 1, 1, 1, 1] 
