dag9.txt 5_4_3_2x2.txt 0.4 0.6 365909.3333333333 [3, 7, 3, 2, 3, 0, 2, 2, 7, 4, 0, 1, 1, 4, 1, 4, 1, 7, 1, 0, 2, 3, 2, 0, 0, 0, 4, 2, 0, 5, 2, 2, 0, 2, 4, 4, 5, 2, 0, 0, 4, 5, 5, 5, 0, 5, 1, 5, 1, 1, 4, 1, 5, 5, 1, 6, 1, 1, 1, 7, 4, 6, 1, 6, 7, 7, 7, 7, 1, 6, 7, 6, 7, 3, 0, 5, 4, 5, 6, 5, 1, 5, 3, 5, 6, 3, 6, 6, 6, 6] 
dag9.txt 5_4_3_2x2.txt 0.34814814814814815 0.7 363724.8 [0, 2, 1, 4, 5, 3, 4, 4, 2, 4, 2, 6, 0, 1, 6, 2, 4, 2, 4, 2, 4, 0, 4, 3, 6, 1, 1, 4, 3, 3, 4, 4, 3, 4, 1, 1, 6, 1, 2, 4, 4, 4, 3, 4, 3, 3, 6, 3, 7, 0, 4, 6, 4, 4, 6, 6, 7, 4, 0, 4, 0, 0, 6, 0, 2, 2, 2, 2, 7, 7, 2, 7, 2, 0, 5, 5, 5, 0, 7, 5, 6, 5, 0, 0, 0, 0, 7, 7, 0, 7] 
dag9.txt 5_4_3_2x2.txt 0.34814814814814815 0.65 368640.0 [1, 0, 2, 7, 3, 5, 4, 4, 1, 5, 5, 5, 6, 2, 5, 0, 6, 0, 6, 5, 1, 1, 4, 5, 5, 5, 2, 7, 1, 0, 3, 7, 5, 7, 2, 2, 2, 7, 0, 0, 2, 2, 0, 0, 5, 0, 5, 0, 6, 6, 2, 5, 0, 0, 5, 5, 0, 0, 4, 0, 4, 4, 6, 4, 0, 0, 0, 0, 6, 6, 0, 6, 0, 1, 0, 0, 4, 4, 2, 4, 7, 4, 1, 4, 1, 1, 0, 1, 1, 1] 
dag9.txt 5_4_3_2x2.txt 0.34814814814814815 0.45 365909.3333333333 [4, 1, 7, 2, 0, 0, 2, 2, 1, 0, 1, 0, 4, 3, 0, 1, 4, 1, 4, 1, 2, 4, 2, 0, 0, 6, 0, 2, 5, 6, 2, 2, 0, 2, 0, 3, 0, 2, 1, 6, 0, 0, 6, 6, 6, 6, 0, 6, 4, 4, 0, 0, 6, 6, 0, 0, 6, 6, 4, 0, 1, 7, 7, 7, 1, 1, 1, 1, 4, 7, 1, 4, 1, 4, 5, 5, 0, 5, 4, 5, 0, 5, 4, 4, 4, 4, 6, 4, 4, 4] 
dag9.txt 5_4_3_2x2.txt 0.14814814814814814 0.15 761856.0 [1, 1, 4, 4, 1, 0, 4, 4, 1, 4, 0, 0, 0, 4, 0, 1, 0, 1, 0, 0, 4, 1, 4, 0, 0, 0, 4, 4, 0, 0, 4, 4, 4, 4, 4, 4, 0, 4, 1, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 4, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0] 
dag9.txt 5_4_3_2x2.txt 0.32592592592592595 0.4 368640.0 [3, 0, 6, 0, 3, 0, 1, 1, 4, 1, 0, 0, 4, 2, 4, 0, 4, 0, 4, 0, 1, 3, 0, 0, 0, 0, 2, 0, 6, 6, 1, 1, 0, 1, 2, 2, 0, 1, 0, 6, 2, 0, 6, 6, 0, 6, 4, 6, 4, 4, 7, 4, 6, 6, 4, 4, 7, 7, 4, 7, 1, 4, 4, 4, 0, 0, 0, 0, 7, 4, 0, 7, 0, 3, 5, 5, 5, 5, 7, 5, 4, 5, 3, 3, 2, 3, 7, 7, 2, 2] 
dag9.txt 5_4_3_2x2.txt 0.34074074074074073 0.8 371370.6666666667 [4, 4, 3, 0, 5, 2, 0, 0, 3, 5, 4, 1, 6, 0, 5, 4, 6, 4, 6, 4, 0, 4, 0, 2, 2, 2, 0, 0, 2, 6, 0, 0, 2, 0, 0, 0, 2, 0, 4, 6, 0, 2, 6, 2, 2, 2, 5, 6, 6, 1, 0, 5, 6, 6, 1, 5, 1, 1, 6, 0, 5, 5, 1, 1, 4, 4, 4, 4, 1, 1, 4, 1, 4, 4, 1, 7, 7, 4, 6, 7, 5, 4, 4, 4, 6, 4, 6, 6, 6, 6] 
dag9.txt 5_4_3_2x2.txt 0.37777777777777777 1 364544.0 [0, 4, 1, 3, 5, 2, 3, 4, 7, 3, 0, 2, 4, 2, 6, 0, 4, 4, 4, 0, 3, 0, 3, 2, 2, 2, 1, 3, 0, 0, 4, 4, 2, 4, 1, 2, 2, 4, 4, 7, 1, 1, 7, 7, 0, 7, 6, 7, 4, 4, 1, 6, 7, 7, 6, 6, 4, 4, 1, 4, 6, 1, 6, 1, 4, 4, 4, 4, 4, 1, 4, 1, 5, 0, 0, 0, 5, 5, 1, 5, 6, 5, 0, 5, 1, 0, 1, 1, 1, 1] 
dag9.txt 5_4_3_2x2.txt 0.45185185185185184 0.9 372736.0 [1, 1, 1, 6, 1, 0, 6, 6, 3, 0, 5, 5, 7, 4, 5, 2, 7, 1, 7, 5, 2, 1, 6, 0, 5, 0, 0, 6, 4, 4, 6, 6, 0, 6, 0, 0, 0, 0, 1, 2, 0, 0, 4, 6, 6, 6, 5, 4, 7, 7, 4, 7, 2, 4, 5, 7, 4, 4, 7, 4, 2, 0, 5, 0, 1, 1, 1, 1, 4, 5, 3, 0, 5, 5, 4, 4, 3, 5, 4, 3, 5, 1, 5, 1, 4, 5, 4, 4, 4, 4] 
dag9.txt 5_4_3_2x2.txt 0.31851851851851853 0.55 365909.3333333333 [0, 7, 2, 4, 5, 5, 4, 4, 5, 3, 5, 6, 1, 2, 6, 7, 5, 7, 5, 5, 4, 0, 4, 5, 5, 0, 2, 4, 0, 5, 4, 4, 5, 4, 2, 2, 2, 4, 5, 5, 2, 2, 5, 2, 4, 4, 6, 4, 1, 1, 2, 6, 5, 1, 6, 6, 1, 1, 1, 7, 6, 6, 6, 6, 7, 7, 7, 7, 1, 6, 7, 1, 7, 0, 5, 4, 0, 0, 1, 0, 3, 0, 0, 0, 1, 0, 1, 1, 1, 1] 
dag9.txt 5_4_3_2x2.txt 0.28888888888888886 0.3 376832.0 [1, 3, 5, 2, 7, 0, 2, 2, 3, 5, 0, 0, 4, 5, 0, 3, 4, 3, 4, 0, 6, 1, 2, 0, 0, 7, 5, 2, 0, 0, 2, 2, 0, 2, 5, 5, 0, 5, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0, 4, 4, 5, 4, 0, 0, 0, 4, 0, 0, 4, 2, 2, 4, 4, 4, 2, 2, 3, 1, 4, 4, 3, 4, 1, 1, 6, 6, 6, 1, 4, 6, 1, 1, 1, 1, 4, 1, 0, 4, 4, 4] 
