dag29.txt 3_2x4.txt True 0.29347826086956524 0.3 499712.0 [0, 2, 0, 6, 3, 2, 4, 5, 5, 4, 4, 0, 0, 4, 4, 6, 5, 2, 5, 3, 3, 4, 0, 4, 4, 6, 0, 6, 6, 0, 6, 1, 0, 5, 0, 6, 1, 5, 7, 4, 1, 7, 1, 0, 7, 3, 7, 6, 7, 2, 2, 3, 3, 2, 2, 1, 2, 2, 1, 2, 1] 
dag29.txt 3_2x4.txt True 0.34782608695652173 0.35 401408.0 [5, 2, 5, 6, 2, 4, 3, 6, 1, 3, 2, 5, 5, 3, 3, 6, 6, 2, 0, 2, 2, 3, 5, 6, 6, 7, 7, 1, 7, 5, 7, 6, 7, 0, 7, 1, 0, 6, 1, 3, 0, 7, 0, 5, 1, 2, 1, 1, 1, 4, 4, 2, 2, 4, 4, 0, 4, 4, 0, 4, 0] 
dag29.txt 3_2x4.txt True 0.3804347826086957 0.4 354986.6666666667 [5, 2, 5, 6, 2, 4, 3, 6, 1, 3, 2, 5, 5, 3, 3, 6, 6, 2, 0, 2, 2, 3, 5, 6, 6, 7, 7, 1, 7, 5, 2, 6, 7, 0, 7, 1, 0, 6, 1, 3, 0, 7, 0, 5, 1, 2, 1, 1, 1, 4, 4, 2, 2, 4, 4, 0, 4, 4, 0, 4, 0] 
dag29.txt 3_2x4.txt True 0.43478260869565216 0.45 349525.3333333333 [5, 2, 4, 6, 6, 4, 3, 6, 1, 3, 2, 5, 5, 3, 3, 6, 6, 2, 0, 2, 2, 3, 5, 6, 6, 7, 7, 1, 7, 5, 2, 6, 7, 0, 7, 1, 0, 6, 1, 3, 0, 7, 4, 5, 1, 2, 1, 1, 1, 4, 4, 2, 2, 4, 4, 0, 4, 4, 0, 4, 0] 
dag29.txt 3_2x4.txt True 0.43478260869565216 0.5 349525.3333333333 [5, 2, 4, 6, 6, 4, 3, 6, 1, 3, 2, 5, 5, 3, 3, 6, 6, 2, 0, 2, 2, 3, 5, 6, 6, 7, 7, 1, 7, 5, 2, 6, 7, 0, 7, 1, 0, 6, 1, 3, 0, 7, 4, 5, 1, 2, 1, 1, 1, 4, 4, 2, 2, 4, 4, 0, 4, 4, 0, 4, 0] 
dag29.txt 3_2x4.txt True 0.5434782608695652 0.55 338602.6666666667 [3, 5, 3, 1, 5, 0, 6, 4, 0, 3, 6, 3, 2, 6, 5, 1, 4, 5, 4, 6, 5, 0, 2, 1, 0, 2, 3, 0, 0, 2, 2, 1, 2, 4, 4, 1, 4, 4, 4, 6, 7, 2, 6, 3, 2, 6, 3, 1, 0, 5, 0, 5, 1, 7, 7, 4, 1, 7, 6, 7, 7] 
dag29.txt 3_2x4.txt True 0.5760869565217391 0.6 335872.0 [3, 5, 3, 1, 5, 0, 6, 4, 0, 3, 4, 3, 2, 6, 5, 1, 4, 5, 4, 6, 5, 0, 2, 1, 0, 2, 3, 0, 0, 2, 2, 1, 2, 4, 4, 1, 4, 4, 4, 6, 7, 2, 6, 3, 2, 6, 3, 1, 0, 5, 0, 5, 1, 7, 7, 0, 1, 7, 6, 7, 7] 
dag29.txt 3_2x4.txt True 0.5760869565217391 0.65 335872.0 [3, 5, 3, 1, 5, 0, 6, 4, 0, 3, 4, 3, 2, 6, 5, 1, 4, 5, 4, 6, 5, 0, 2, 1, 0, 2, 3, 0, 0, 2, 2, 1, 2, 4, 4, 1, 4, 4, 4, 6, 7, 2, 6, 3, 2, 6, 3, 1, 0, 5, 0, 5, 1, 7, 7, 0, 1, 7, 6, 7, 7] 
dag29.txt 3_2x4.txt True 0.5760869565217391 0.7 335872.0 [3, 5, 3, 1, 5, 0, 6, 4, 0, 3, 4, 3, 2, 6, 5, 1, 4, 5, 4, 6, 5, 0, 2, 1, 0, 2, 3, 0, 0, 2, 2, 1, 2, 4, 4, 1, 4, 4, 4, 6, 7, 2, 6, 3, 2, 6, 3, 1, 0, 5, 0, 5, 1, 7, 7, 0, 1, 7, 6, 7, 7] 
dag29.txt 3_2x4.txt True 0.5760869565217391 0.75 335872.0 [3, 5, 3, 1, 5, 0, 6, 4, 0, 3, 4, 3, 2, 6, 5, 1, 4, 5, 4, 6, 5, 0, 2, 1, 0, 2, 3, 0, 0, 2, 2, 1, 2, 4, 4, 1, 4, 4, 4, 6, 7, 2, 6, 3, 2, 6, 3, 1, 0, 5, 0, 5, 1, 7, 7, 0, 1, 7, 6, 7, 7] 
dag29.txt 3_2x4.txt True 0.5760869565217391 0.8 335872.0 [3, 5, 3, 1, 5, 0, 6, 4, 0, 3, 4, 3, 2, 6, 5, 1, 4, 5, 4, 6, 5, 0, 2, 1, 0, 2, 3, 0, 0, 2, 2, 1, 2, 4, 4, 1, 4, 4, 4, 6, 7, 2, 6, 3, 2, 6, 3, 1, 0, 5, 0, 5, 1, 7, 7, 0, 1, 7, 6, 7, 7] 
dag29.txt 3_2x4.txt True 0.5760869565217391 0.85 335872.0 [3, 5, 3, 1, 5, 0, 6, 4, 0, 3, 4, 3, 2, 6, 5, 1, 4, 5, 4, 6, 5, 0, 2, 1, 0, 2, 3, 0, 0, 2, 2, 1, 2, 4, 4, 1, 4, 4, 4, 6, 7, 2, 6, 3, 2, 6, 3, 1, 0, 5, 0, 5, 1, 7, 7, 0, 1, 7, 6, 7, 7] 
