dag18.txt 3_2x4.txt True 0.2956521739130435 0.3 688128.0 [4, 2, 5, 3, 6, 5, 2, 6, 0, 2, 1, 3, 3, 1, 0, 2, 2, 6, 1, 2, 4, 2, 5, 0, 2, 4, 3, 0, 3, 4, 4, 4, 4, 3, 1, 1, 0, 6, 0, 0, 3, 7, 1, 0, 7, 0, 0, 6, 0, 3, 3, 2, 2, 4, 7, 7, 7, 4, 4, 4, 7, 7, 7, 5, 5, 6, 5, 7, 7, 1, 6, 5, 5, 1, 6, 6, 6, 5, 1, 1, 1] 
dag18.txt 3_2x4.txt True 0.3391304347826087 0.35 551594.6666666666 [4, 2, 5, 3, 6, 5, 2, 6, 0, 2, 2, 3, 3, 1, 0, 2, 2, 6, 1, 2, 4, 2, 5, 0, 2, 4, 3, 0, 3, 4, 4, 4, 4, 0, 1, 1, 0, 6, 0, 0, 2, 7, 1, 0, 7, 0, 0, 6, 0, 3, 3, 2, 2, 4, 7, 7, 7, 4, 4, 4, 7, 7, 7, 5, 5, 6, 5, 7, 7, 1, 6, 5, 5, 1, 6, 6, 6, 5, 1, 1, 1] 
dag18.txt 3_2x4.txt True 0.391304347826087 0.4 753664.0 [1, 5, 3, 7, 1, 3, 6, 1, 6, 0, 0, 7, 6, 5, 4, 6, 6, 1, 3, 5, 3, 6, 3, 4, 6, 3, 7, 6, 7, 5, 3, 3, 3, 7, 5, 6, 4, 7, 4, 6, 7, 1, 5, 4, 1, 4, 4, 1, 4, 7, 7, 7, 7, 2, 1, 1, 4, 3, 2, 2, 0, 2, 2, 2, 2, 1, 2, 0, 0, 5, 0, 0, 0, 4, 0, 0, 0, 2, 0, 5, 2] 
dag18.txt 3_2x4.txt True 0.4260869565217391 0.45 622592.0 [1, 4, 3, 7, 7, 3, 5, 0, 6, 6, 5, 4, 7, 4, 0, 5, 5, 0, 5, 4, 0, 6, 3, 0, 7, 3, 7, 7, 7, 4, 3, 0, 3, 7, 5, 5, 4, 7, 4, 5, 7, 1, 5, 4, 1, 6, 6, 3, 6, 2, 2, 3, 3, 3, 0, 6, 6, 0, 1, 0, 6, 1, 1, 2, 2, 0, 2, 2, 1, 5, 1, 2, 1, 6, 1, 0, 4, 2, 4, 2, 2] 
dag18.txt 3_2x4.txt True 0.4956521739130435 0.5 491520.0 [1, 4, 3, 7, 7, 3, 5, 0, 6, 6, 1, 4, 7, 4, 0, 5, 5, 4, 5, 4, 0, 6, 3, 0, 7, 3, 7, 0, 7, 4, 3, 0, 3, 7, 5, 5, 4, 7, 4, 5, 7, 1, 5, 4, 1, 6, 6, 3, 6, 2, 2, 3, 3, 3, 0, 6, 6, 0, 1, 0, 6, 1, 1, 2, 2, 0, 2, 2, 1, 5, 1, 2, 1, 6, 1, 0, 4, 2, 4, 2, 2] 
dag18.txt 3_2x4.txt True 0.4956521739130435 0.55 491520.0 [1, 4, 3, 7, 7, 3, 5, 0, 6, 6, 1, 4, 7, 4, 0, 5, 5, 4, 5, 4, 0, 6, 3, 0, 7, 3, 7, 0, 7, 4, 3, 0, 3, 7, 5, 5, 4, 7, 4, 5, 7, 1, 5, 4, 1, 6, 6, 3, 6, 2, 2, 3, 3, 3, 0, 6, 6, 0, 1, 0, 6, 1, 1, 2, 2, 0, 2, 2, 1, 5, 1, 2, 1, 6, 1, 0, 4, 2, 4, 2, 2] 
dag18.txt 3_2x4.txt True 0.4956521739130435 0.6 491520.0 [1, 4, 3, 7, 7, 3, 5, 0, 6, 6, 1, 4, 7, 4, 0, 5, 5, 4, 5, 4, 0, 6, 3, 0, 7, 3, 7, 0, 7, 4, 3, 0, 3, 7, 5, 5, 4, 7, 4, 5, 7, 1, 5, 4, 1, 6, 6, 3, 6, 2, 2, 3, 3, 3, 0, 6, 6, 0, 1, 0, 6, 1, 1, 2, 2, 0, 2, 2, 1, 5, 1, 2, 1, 6, 1, 0, 4, 2, 4, 2, 2] 
dag18.txt 3_2x4.txt True 0.4956521739130435 0.65 491520.0 [1, 4, 3, 7, 7, 3, 5, 0, 6, 6, 1, 4, 7, 4, 0, 5, 5, 4, 5, 4, 0, 6, 3, 0, 7, 3, 7, 0, 7, 4, 3, 0, 3, 7, 5, 5, 4, 7, 4, 5, 7, 1, 5, 4, 1, 6, 6, 3, 6, 2, 2, 3, 3, 3, 0, 6, 6, 0, 1, 0, 6, 1, 1, 2, 2, 0, 2, 2, 1, 5, 1, 2, 1, 6, 1, 0, 4, 2, 4, 2, 2] 
dag18.txt 3_2x4.txt True 0.4956521739130435 0.7 491520.0 [1, 4, 3, 7, 7, 3, 5, 0, 6, 6, 1, 4, 7, 4, 0, 5, 5, 4, 5, 4, 0, 6, 3, 0, 7, 3, 7, 0, 7, 4, 3, 0, 3, 7, 5, 5, 4, 7, 4, 5, 7, 1, 5, 4, 1, 6, 6, 3, 6, 2, 2, 3, 3, 3, 0, 6, 6, 0, 1, 0, 6, 1, 1, 2, 2, 0, 2, 2, 1, 5, 1, 2, 1, 6, 1, 0, 4, 2, 4, 2, 2] 
dag18.txt 3_2x4.txt True 0.4956521739130435 0.75 491520.0 [1, 4, 3, 7, 7, 3, 5, 0, 6, 6, 1, 4, 7, 4, 0, 5, 5, 4, 5, 4, 0, 6, 3, 0, 7, 3, 7, 0, 7, 4, 3, 0, 3, 7, 5, 5, 4, 7, 4, 5, 7, 1, 5, 4, 1, 6, 6, 3, 6, 2, 2, 3, 3, 3, 0, 6, 6, 0, 1, 0, 6, 1, 1, 2, 2, 0, 2, 2, 1, 5, 1, 2, 1, 6, 1, 0, 4, 2, 4, 2, 2] 
